timestamp, power.draw [W]
2021/03/31 22:52:45.022, 11.51 W
2021/03/31 22:52:45.073, 11.58 W
2021/03/31 22:52:45.124, 11.58 W
2021/03/31 22:52:45.175, 7.79 W
2021/03/31 22:52:45.226, 7.79 W
2021/03/31 22:52:45.276, 7.57 W
2021/03/31 22:52:45.327, 7.57 W
2021/03/31 22:52:45.378, 5.58 W
2021/03/31 22:52:45.430, 5.58 W
2021/03/31 22:52:45.481, 6.64 W
2021/03/31 22:52:45.532, 6.64 W
2021/03/31 22:52:45.583, 5.60 W
2021/03/31 22:52:45.634, 5.60 W
2021/03/31 22:52:45.685, 6.86 W
2021/03/31 22:52:45.736, 6.86 W
2021/03/31 22:52:45.787, 8.06 W
2021/03/31 22:52:45.838, 8.06 W
2021/03/31 22:52:45.889, 7.64 W
2021/03/31 22:52:45.939, 7.64 W
2021/03/31 22:52:45.990, 7.72 W
2021/03/31 22:52:46.041, 7.72 W
2021/03/31 22:52:46.092, 4.48 W
2021/03/31 22:52:46.144, 4.48 W
2021/03/31 22:52:46.195, 3.73 W
2021/03/31 22:52:46.246, 3.73 W
2021/03/31 22:52:46.298, 6.67 W
2021/03/31 22:52:46.349, 6.67 W
2021/03/31 22:52:46.400, 6.01 W
2021/03/31 22:52:46.451, 6.01 W
2021/03/31 22:52:46.503, 5.33 W
2021/03/31 22:52:46.554, 5.33 W
2021/03/31 22:52:46.605, 5.11 W
2021/03/31 22:52:46.656, 5.11 W
2021/03/31 22:52:46.708, 5.55 W
2021/03/31 22:52:46.759, 5.55 W
2021/03/31 22:52:46.810, 5.84 W
2021/03/31 22:52:46.861, 5.84 W
2021/03/31 22:52:46.912, 5.17 W
2021/03/31 22:52:46.964, 5.17 W
2021/03/31 22:52:47.015, 5.11 W
2021/03/31 22:52:47.066, 5.25 W
2021/03/31 22:52:47.118, 5.25 W
2021/03/31 22:52:47.169, 5.08 W
2021/03/31 22:52:47.221, 5.08 W
2021/03/31 22:52:47.272, 5.67 W
2021/03/31 22:52:47.323, 5.67 W
2021/03/31 22:52:47.374, 5.18 W
2021/03/31 22:52:47.426, 5.18 W
2021/03/31 22:52:47.477, 5.12 W
2021/03/31 22:52:47.529, 5.12 W
2021/03/31 22:52:47.580, 5.09 W
2021/03/31 22:52:47.631, 5.09 W
2021/03/31 22:52:47.682, 5.12 W
2021/03/31 22:52:47.733, 5.12 W
2021/03/31 22:52:47.785, 5.35 W
2021/03/31 22:52:47.836, 5.35 W
2021/03/31 22:52:47.887, 5.51 W
2021/03/31 22:52:47.938, 5.51 W
2021/03/31 22:52:47.990, 5.12 W
2021/03/31 22:52:48.041, 5.12 W
2021/03/31 22:52:48.092, 2.75 W
2021/03/31 22:52:48.143, 2.75 W
2021/03/31 22:52:48.195, 2.05 W
2021/03/31 22:52:48.246, 2.05 W
2021/03/31 22:52:48.297, 2.45 W
2021/03/31 22:52:48.349, 2.45 W
2021/03/31 22:52:48.400, 2.04 W
2021/03/31 22:52:48.451, 2.04 W
2021/03/31 22:52:48.503, 2.09 W
2021/03/31 22:52:48.554, 2.09 W
2021/03/31 22:52:48.605, 2.81 W
2021/03/31 22:52:48.657, 2.81 W
2021/03/31 22:52:48.708, 2.06 W
